,정류장_ID,정류장_명칭,정류장_유형,정류장_번호,위도,경도,geometry,sgg_oid,jibun,pnu,index_right,ADM_DR_CD,ADM_DR_NM
69041,104900078,기원정사입구,마을버스,5720,127.093043,37.555279,POINT (127.093043 37.555279),82038,107-43대,1121510100101070043,70,1105058,중곡4동
69043,104900076,해오름공원입구,마을버스,5723,127.091364,37.55633,POINT (127.091364 37.55633),137828,440 도,1121510100104400000,70,1105058,중곡4동
69045,104900074,우리들약국,마을버스,5727,127.090369,37.557044,POINT (127.090369 37.557044),137831,453 도,1121510100104530000,70,1105058,중곡4동
69047,104900072,마을금고앞,마을버스,5731,127.089393,37.557731,POINT (127.089393 37.557731),137831,453 도,1121510100104530000,70,1105058,중곡4동
69049,104900070,신성시장입구,마을버스,5735,127.088063,37.55867,POINT (127.088063 37.55867),106492,266-5 도,1121510100102660005,70,1105058,중곡4동
69271,104000045,신성시장,일반차로,5138,127.08793,37.558319,POINT (127.08793 37.558319),106492,266-5 도,1121510100102660005,70,1105058,중곡4동
69050,104900068,대순진리회앞.구.새마을금고,마을버스,5737,127.087568,37.560955,POINT (127.087568 37.560955),77952,150-101대,1121510100101500101,70,1105058,중곡4동
69051,104900067,대원외고앞,마을버스,5739,127.087141,37.563245,POINT (127.087141 37.563245),76328,21-10대,1121510100100210010,70,1105058,중곡4동
69053,104900065,중곡4동파출소,마을버스,5741,127.08677,37.565419,POINT (127.08677 37.565419),75316,18-27대,1121510100100180027,70,1105058,중곡4동
69059,104900059,긴고랑종점,마을버스,5503,127.096043,37.562194,POINT (127.096043 37.562194),76969,72-59 도,1121510100100720059,70,1105058,중곡4동
69065,104900053,신성시장입구,마을버스,5517,127.08801,37.558527,POINT (127.08801 37.558527),80125,79-1대,1121510100100790001,70,1105058,중곡4동
69067,104900051,마을금고.브레드제과점,마을버스,5522,127.089247,37.557634,POINT (127.089247 37.557634),80788,82-1대,1121510100100820001,70,1105058,중곡4동
69070,104900048,우리들약국,마을버스,5527,127.090285,37.556901,POINT (127.090285 37.556901),81293,89-1대,1121510100100890001,70,1105058,중곡4동
69071,104900047,해오름공원입구,마을버스,5531,127.091123,37.556308,POINT (127.091123 37.556308),81590,89-10대,1121510100100890010,70,1105058,중곡4동
69074,104900044,기원정사입구,마을버스,5536,127.093137,37.554883,POINT (127.093137 37.554883),82196,109-5대,1121510100101090005,70,1105058,중곡4동
69089,104900029,긴고랑입구,마을버스,5559,127.088669,37.558736,POINT (127.088669 37.558736),79908,78-15대,1121510100100780015,70,1105058,중곡4동
69092,104900026,중곡4동어린이집입구,마을버스,5564,127.091668,37.558517,POINT (127.091668 37.558517),80107,75-48대,1121510100100750048,70,1105058,중곡4동
69095,104900023,CU중곡긴고랑점앞,마을버스,5569,127.093003,37.558759,POINT (127.093003 37.558759),79889,75-1대,1121510100100750001,70,1105058,중곡4동
69097,104900021,중앙상회앞,마을버스,5574,127.095196,37.560241,POINT (127.095196 37.560241),78544,73-15대,1121510100100730015,70,1105058,중곡4동
69117,104900001,종로약국앞,마을버스,5716,127.088106,37.557588,POINT (127.088106 37.557588),80602,79-9대,1121510100100790009,70,1105058,중곡4동
69131,104000294,긴고랑주차장,일반차로,5515,127.095631,37.560961,POINT (127.095631 37.560961),77934,72-63임,1121510100100720063,70,1105058,중곡4동
69270,104000046,중곡동입구,일반차로,5139,127.088669,37.554197,POINT (127.088669 37.554197),82328,93-46대,1121510100100930046,70,1105058,중곡4동
69272,104000044,중곡동종점,일반차로,5137,127.087309,37.562695,POINT (127.087309 37.562695),76291,150-405도,1121510100101500405,70,1105058,중곡4동
