,x_index,y_index,격자 당 경로당 수,행정동,격자 당 어린이 보육시설 수,유아비율(%),노인비율(%),kmeans_label,중심점,geometry,x,y
341,20,6,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964887.9999999997 1951408.0000000005),"POLYGON ((964787.9999999991 1951508.000000001, 964987.9999999993 1951508.000000001, 964988.0000000002 1951307.999999999, 964788.0000000002 1951308.0000000005, 964787.9999999991 1951508.000000001))",964887.9999999997,1951408.0000000005
342,21,0,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (965088.0000000002 1952608),"POLYGON ((964988.0000000003 1952708.0000000002, 965187.999999999 1952708.0000000002, 965188.0000000009 1952507.9999999998, 964988.0000000009 1952507.9999999998, 964988.0000000003 1952708.0000000002))",965088.0000000002,1952608.0
343,21,1,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (965088.0000000002 1952408.0000000002),"POLYGON ((964988.0000000009 1952507.9999999998, 965188.0000000009 1952507.9999999998, 965187.999999999 1952308, 964988.0000000001 1952308.0000000007, 964988.0000000009 1952507.9999999998))",965088.0000000002,1952408.0
344,13,13,1,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (963488 1950008),"POLYGON ((963387.9999999997 1950107.999999999, 963587.9999999988 1950107.999999999, 963588.0000000009 1949908.0000000007, 963388.0000000003 1949908.0000000007, 963387.9999999997 1950107.999999999))",963488.0,1950008.0
345,13,14,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (963488.0000000003 1949808.0000000005),"POLYGON ((963388.0000000003 1949908.0000000007, 963588.0000000009 1949908.0000000007, 963588.0000000001 1949708.0000000002, 963388.0000000002 1949708.0000000002, 963388.0000000003 1949908.0000000007))",963488.0000000003,1949808.0000000005
346,13,15,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (963488.0000000005 1949608.0000000002),"POLYGON ((963388.0000000002 1949708.0000000002, 963588.0000000001 1949708.0000000002, 963588.0000000005 1949507.9999999998, 963388.0000000009 1949507.9999999998, 963388.0000000002 1949708.0000000002))",963488.0000000003,1949608.0
347,14,12,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (963687.9999999999 1950208.0000000002),"POLYGON ((963587.9999999991 1950308.0000000002, 963788.000000001 1950308.000000001, 963788.0000000003 1950107.9999999998, 963587.9999999988 1950107.999999999, 963587.9999999991 1950308.0000000002))",963688.0,1950208.0
348,14,13,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (963688.0000000001 1950008.0000000002),"POLYGON ((963587.9999999988 1950107.999999999, 963788.0000000003 1950107.9999999998, 963787.9999999999 1949908, 963588.0000000009 1949908.0000000007, 963587.9999999988 1950107.999999999))",963688.0,1950008.0
349,14,14,1,구의2동,2,4.239142955880658,17.286794916100295,2,POINT (963688 1949808.0000000002),"POLYGON ((963588.0000000009 1949908.0000000007, 963787.9999999999 1949908, 963787.999999999 1949707.9999999995, 963588.0000000001 1949708.0000000002, 963588.0000000009 1949908.0000000007))",963688.0,1949808.0
350,14,15,0,구의2동,4,4.239142955880658,17.286794916100295,2,POINT (963687.9999999998 1949608),"POLYGON ((963588.0000000001 1949708.0000000002, 963787.999999999 1949707.9999999995, 963787.9999999995 1949507.9999999998, 963588.0000000005 1949507.9999999998, 963588.0000000001 1949708.0000000002))",963687.9999999998,1949608.0
351,15,11,1,구의2동,4,4.239142955880658,17.286794916100295,2,POINT (963888.0000000001 1950408.000000001),"POLYGON ((963788.0000000002 1950508.0000000007, 963987.9999999992 1950508, 963987.9999999999 1950308.000000001, 963788.000000001 1950308.000000001, 963788.0000000002 1950508.0000000007))",963888.0,1950408.000000001
352,15,12,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (963888.0000000002 1950208.0000000005),"POLYGON ((963788.000000001 1950308.000000001, 963987.9999999999 1950308.000000001, 963987.9999999993 1950107.9999999998, 963788.0000000003 1950107.9999999998, 963788.000000001 1950308.000000001))",963888.0000000002,1950208.0000000005
353,15,13,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (963887.9999999998 1950008),"POLYGON ((963788.0000000003 1950107.9999999998, 963987.9999999993 1950107.9999999998, 963987.9999999991 1949908, 963787.9999999999 1949908, 963788.0000000003 1950107.9999999998))",963887.9999999998,1950008.0
354,15,14,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (963887.9999999998 1949807.9999999998),"POLYGON ((963787.9999999999 1949908, 963987.9999999991 1949908, 963988.000000001 1949708.0000000002, 963787.999999999 1949707.9999999995, 963787.9999999999 1949908))",963887.9999999998,1949808.0
355,15,15,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (963888 1949608),"POLYGON ((963787.999999999 1949707.9999999995, 963988.000000001 1949708.0000000002, 963988 1949507.999999999, 963787.9999999995 1949507.9999999998, 963787.999999999 1949707.9999999995))",963888.0,1949608.0
356,16,10,0,구의2동,3,4.239142955880658,17.286794916100295,2,POINT (964088 1950607.9999999993),"POLYGON ((963988 1950707.9999999998, 964187.9999999993 1950707.9999999998, 964188.0000000012 1950507.9999999993, 963987.9999999992 1950508, 963988 1950707.9999999998))",964088.0,1950607.9999999995
357,16,11,0,구의2동,6,4.239142955880658,17.286794916100295,2,POINT (964088.0000000001 1950408.0000000002),"POLYGON ((963987.9999999992 1950508, 964188.0000000012 1950507.9999999993, 964188 1950308.0000000002, 963987.9999999999 1950308.000000001, 963987.9999999992 1950508))",964088.0,1950408.0
358,16,12,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (964087.9999999999 1950208.0000000002),"POLYGON ((963987.9999999999 1950308.000000001, 964188 1950308.0000000002, 964188.0000000001 1950107.9999999998, 963987.9999999993 1950107.9999999998, 963987.9999999999 1950308.000000001))",964088.0,1950208.0
359,16,13,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964087.9999999999 1950008),"POLYGON ((963987.9999999993 1950107.9999999998, 964188.0000000001 1950107.9999999998, 964188.0000000007 1949908.0000000007, 963987.9999999991 1949908, 963987.9999999993 1950107.9999999998))",964088.0,1950008.0
360,16,14,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964088 1949808.0000000012),"POLYGON ((963987.9999999991 1949908, 964188.0000000007 1949908.0000000007, 964187.9999999992 1949708.0000000016, 963988.000000001 1949708.0000000002, 963987.9999999991 1949908))",964088.0,1949808.0000000007
361,16,15,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964088 1949608),"POLYGON ((963988.000000001 1949708.0000000002, 964187.9999999992 1949708.0000000016, 964187.9999999995 1949507.999999999, 963988 1949507.999999999, 963988.000000001 1949708.0000000002))",964088.0,1949608.0
362,17,9,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964288.0000000001 1950808.0000000007),"POLYGON ((964187.9999999995 1950908.0000000002, 964388.0000000005 1950908.000000001, 964388.0000000009 1950708.0000000005, 964187.9999999993 1950707.9999999998, 964187.9999999995 1950908.0000000002))",964288.0,1950808.0000000007
363,17,10,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (964288.0000000002 1950608),"POLYGON ((964187.9999999993 1950707.9999999998, 964388.0000000009 1950708.0000000005, 964387.9999999992 1950508, 964188.0000000012 1950507.9999999993, 964187.9999999993 1950707.9999999998))",964288.0000000002,1950608.0
364,17,11,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (964287.9999999999 1950407.9999999993),"POLYGON ((964188.0000000012 1950507.9999999993, 964387.9999999992 1950508, 964387.9999999991 1950307.9999999995, 964188 1950308.0000000002, 964188.0000000012 1950507.9999999993))",964288.0,1950407.9999999995
365,17,12,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (964287.9999999997 1950207.9999999998),"POLYGON ((964188 1950308.0000000002, 964387.9999999991 1950307.9999999995, 964388.0000000002 1950107.9999999998, 964188.0000000001 1950107.9999999998, 964188 1950308.0000000002))",964287.9999999997,1950208.0
366,17,13,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964288.0000000003 1950008.0000000005),"POLYGON ((964188.0000000001 1950107.9999999998, 964388.0000000002 1950107.9999999998, 964388 1949908, 964188.0000000007 1949908.0000000007, 964188.0000000001 1950107.9999999998))",964288.0000000003,1950008.0000000005
367,17,14,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964288.0000000001 1949808.0000000005),"POLYGON ((964188.0000000007 1949908.0000000007, 964388 1949908, 964388 1949708.0000000002, 964187.9999999992 1949708.0000000016, 964188.0000000007 1949908.0000000007))",964288.0,1949808.0000000005
368,18,9,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964488.0000000007 1950808.0000000005),"POLYGON ((964388.0000000005 1950908.000000001, 964588.0000000009 1950908.000000001, 964588.0000000005 1950708.0000000005, 964388.0000000009 1950708.0000000005, 964388.0000000005 1950908.000000001))",964488.0000000008,1950808.0000000005
369,18,10,0,구의2동,1,4.239142955880658,17.286794916100295,0,POINT (964488.0000000001 1950608),"POLYGON ((964388.0000000009 1950708.0000000005, 964588.0000000005 1950708.0000000005, 964588.0000000001 1950508.0000000007, 964387.9999999992 1950508, 964388.0000000009 1950708.0000000005))",964488.0,1950608.0
370,18,11,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964487.9999999993 1950408),"POLYGON ((964387.9999999992 1950508, 964588.0000000001 1950508.0000000007, 964587.9999999992 1950308.0000000002, 964387.9999999991 1950307.9999999995, 964387.9999999992 1950508))",964487.9999999992,1950408.0
371,18,12,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964487.9999999995 1950208),"POLYGON ((964387.9999999991 1950307.9999999995, 964587.9999999992 1950308.0000000002, 964587.9999999997 1950108.0000000005, 964388.0000000002 1950107.9999999998, 964387.9999999991 1950307.9999999995))",964487.9999999997,1950208.0
372,19,8,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964688.0000000006 1951008.0000000005),"POLYGON ((964587.9999999995 1951108.0000000007, 964788.0000000002 1951108, 964788.000000001 1950908.0000000002, 964588.0000000009 1950908.000000001, 964587.9999999995 1951108.0000000007))",964688.0000000006,1951008.0000000005
373,19,9,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964688.0000000006 1950808.0000000005),"POLYGON ((964588.0000000009 1950908.000000001, 964788.000000001 1950908.0000000002, 964788 1950708.0000000005, 964588.0000000005 1950708.0000000005, 964588.0000000009 1950908.000000001))",964688.0000000006,1950808.0000000005
374,19,10,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964688 1950608.000000001),"POLYGON ((964588.0000000005 1950708.0000000005, 964788 1950708.0000000005, 964787.9999999991 1950508.0000000007, 964588.0000000001 1950508.0000000007, 964588.0000000005 1950708.0000000005))",964688.0,1950608.000000001
375,20,7,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964888.0000000001 1951208),"POLYGON ((964788.0000000002 1951308.0000000005, 964988.0000000002 1951307.999999999, 964988.0000000001 1951108, 964788.0000000002 1951108, 964788.0000000002 1951308.0000000005))",964888.0,1951208.0
376,20,8,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964888.0000000005 1951008),"POLYGON ((964788.0000000002 1951108, 964988.0000000001 1951108, 964988.0000000007 1950908.000000001, 964788.000000001 1950908.0000000002, 964788.0000000002 1951108))",964888.0000000003,1951008.0
377,20,9,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964888.0000000005 1950808.0000000007),"POLYGON ((964788.000000001 1950908.0000000002, 964988.0000000007 1950908.000000001, 964987.9999999995 1950708.0000000012, 964788 1950708.0000000005, 964788.000000001 1950908.0000000002))",964888.0000000003,1950808.0000000007
378,20,10,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (964887.9999999999 1950608.0000000012),"POLYGON ((964788 1950708.0000000005, 964987.9999999995 1950708.0000000012, 964988.0000000007 1950508.0000000014, 964787.9999999991 1950508.0000000007, 964788 1950708.0000000005))",964888.0,1950608.0000000007
379,21,8,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (965088.0000000002 1951008.0000000002),"POLYGON ((964988.0000000001 1951108, 965187.9999999993 1951108, 965188 1950907.9999999995, 964988.0000000007 1950908.000000001, 964988.0000000001 1951108))",965088.0000000002,1951008.0
380,21,9,0,구의2동,0,4.239142955880658,17.286794916100295,0,POINT (965087.9999999997 1950808.0000000005),"POLYGON ((964988.0000000007 1950908.000000001, 965188 1950907.9999999995, 965187.999999999 1950707.9999999998, 964987.9999999995 1950708.0000000012, 964988.0000000007 1950908.000000001))",965087.9999999997,1950808.0000000005
381,14,19,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (963688 1948808.0000000005),"POLYGON ((963587.9999999991 1948908.0000000012, 963788.0000000009 1948908.0000000012, 963788.0000000009 1948708, 963587.9999999997 1948707.9999999993, 963587.9999999991 1948908.0000000012))",963688.0,1948808.0000000005
382,15,16,0,구의3동,3,4.537237247882032,15.483322108397434,2,POINT (963887.9999999999 1949408),"POLYGON ((963787.9999999995 1949507.9999999998, 963988 1949507.999999999, 963988.0000000001 1949308, 963788.0000000007 1949308, 963787.9999999995 1949507.9999999998))",963888.0,1949408.0
383,15,17,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (963888.0000000003 1949207.9999999998),"POLYGON ((963788.0000000007 1949308, 963988.0000000001 1949308, 963988.0000000008 1949108.0000000002, 963787.9999999999 1949107.9999999995, 963788.0000000007 1949308))",963888.0000000003,1949208.0
384,15,18,9,구의3동,2,4.537237247882032,15.483322108397434,1,POINT (963888.0000000003 1949008.0000000005),"POLYGON ((963787.9999999999 1949107.9999999995, 963988.0000000008 1949108.0000000002, 963987.9999999992 1948908.0000000005, 963788.0000000009 1948908.0000000012, 963787.9999999999 1949107.9999999995))",963888.0000000003,1949008.0000000005
385,15,19,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (963888 1948808.0000000005),"POLYGON ((963788.0000000009 1948908.0000000012, 963987.9999999992 1948908.0000000005, 963987.9999999992 1948708.0000000007, 963788.0000000009 1948708, 963788.0000000009 1948908.0000000012))",963888.0,1948808.0000000005
386,15,20,3,구의3동,1,4.537237247882032,15.483322108397434,1,POINT (963888 1948607.9999999998),"POLYGON ((963788.0000000009 1948708, 963987.9999999992 1948708.0000000007, 963988.0000000005 1948508.0000000002, 963787.9999999994 1948508.0000000002, 963788.0000000009 1948708))",963888.0,1948608.0
387,15,21,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (963888 1948408.0000000005),"POLYGON ((963787.9999999994 1948508.0000000002, 963988.0000000005 1948508.0000000002, 963988.0000000001 1948308.0000000005, 963788.0000000003 1948307.9999999998, 963787.9999999994 1948508.0000000002))",963888.0,1948408.0000000005
388,16,16,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964087.9999999997 1949407.9999999998),"POLYGON ((963988 1949507.999999999, 964187.9999999995 1949507.999999999, 964187.9999999991 1949308, 963988.0000000001 1949308, 963988 1949507.999999999))",964087.9999999997,1949408.0
389,16,17,0,구의3동,1,4.537237247882032,15.483322108397434,3,POINT (964087.9999999998 1949208.0000000002),"POLYGON ((963988.0000000001 1949308, 964187.9999999991 1949308, 964187.9999999994 1949108.0000000016, 963988.0000000008 1949108.0000000002, 963988.0000000001 1949308))",964087.9999999998,1949208.0
390,16,18,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964087.9999999999 1949008.0000000005),"POLYGON ((963988.0000000008 1949108.0000000002, 964187.9999999994 1949108.0000000016, 964188.0000000001 1948908.0000000005, 963987.9999999992 1948908.0000000005, 963988.0000000008 1949108.0000000002))",964088.0,1949008.0000000005
391,16,19,0,구의3동,1,4.537237247882032,15.483322108397434,3,POINT (964087.9999999998 1948808.0000000005),"POLYGON ((963987.9999999992 1948908.0000000005, 964188.0000000001 1948908.0000000005, 964188.0000000008 1948708, 963987.9999999992 1948708.0000000007, 963987.9999999992 1948908.0000000005))",964087.9999999998,1948808.0000000005
392,16,20,1,구의3동,1,4.537237247882032,15.483322108397434,3,POINT (964088.0000000001 1948608.0000000007),"POLYGON ((963987.9999999992 1948708.0000000007, 964188.0000000008 1948708, 964188.0000000009 1948508.000000001, 963988.0000000005 1948508.0000000002, 963987.9999999992 1948708.0000000007))",964088.0,1948608.0000000007
393,16,21,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964088.0000000005 1948408.0000000007),"POLYGON ((963988.0000000005 1948508.0000000002, 964188.0000000009 1948508.000000001, 964187.9999999999 1948308.0000000005, 963988.0000000001 1948308.0000000005, 963988.0000000005 1948508.0000000002))",964088.0000000003,1948408.0000000007
394,16,22,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964087.9999999999 1948208.0000000005),"POLYGON ((963988.0000000001 1948308.0000000005, 964187.9999999999 1948308.0000000005, 964187.9999999995 1948108.0000000007, 963988 1948108, 963988.0000000001 1948308.0000000005))",964088.0,1948208.0000000005
395,16,23,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964087.9999999998 1948008),"POLYGON ((963988 1948108, 964187.9999999995 1948108.0000000007, 964187.9999999994 1947907.9999999995, 963987.9999999993 1947908.0000000002, 963988 1948108))",964087.9999999998,1948008.0
396,16,24,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964087.9999999995 1947808),"POLYGON ((963987.9999999993 1947908.0000000002, 964187.9999999994 1947907.9999999995, 964187.999999999 1947707.9999999998, 963988.0000000001 1947708.0000000012, 963987.9999999993 1947908.0000000002))",964087.9999999997,1947808.0
397,17,18,0,구의3동,1,4.537237247882032,15.483322108397434,3,POINT (964287.9999999995 1949008.0000000005),"POLYGON ((964187.9999999994 1949108.0000000016, 964387.9999999999 1949108.0000000002, 964387.9999999991 1948907.9999999998, 964188.0000000001 1948908.0000000005, 964187.9999999994 1949108.0000000016))",964287.9999999997,1949008.0000000005
398,17,19,2,구의3동,2,4.537237247882032,15.483322108397434,1,POINT (964288.0000000001 1948808),"POLYGON ((964188.0000000001 1948908.0000000005, 964387.9999999991 1948907.9999999998, 964388.0000000008 1948707.9999999993, 964188.0000000008 1948708, 964188.0000000001 1948908.0000000005))",964288.0,1948808.0
399,17,20,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964288.0000000006 1948608.0000000002),"POLYGON ((964188.0000000008 1948708, 964388.0000000008 1948707.9999999993, 964388.0000000001 1948508.0000000002, 964188.0000000009 1948508.000000001, 964188.0000000008 1948708))",964288.0000000006,1948608.0
400,17,21,0,구의3동,0,4.537237247882032,15.483322108397434,3,POINT (964288.0000000005 1948408.0000000002),"POLYGON ((964188.0000000009 1948508.000000001, 964388.0000000001 1948508.0000000002, 964388.0000000012 1948307.9999999998, 964187.9999999999 1948308.0000000005, 964188.0000000009 1948508.000000001))",964288.0000000003,1948408.0
