,사용년월,표준버스정류장ID,버스정류장ARS번호,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,행정동
1842,7,104900065,5741,32.074074074074076,0.0,0.0,0.0,0.0,114.0,1770.2400000000002,5320.888888888889,10462.666666666668,7665.0,3681.5,3175.5,2994.6296296296296,3349.3846153846152,2568.5185185185182,2391.1071428571427,3204.5,3859.2592592592596,2875.0,3337.5,1751.0,1271.2142857142856,1131.7142857142858,530.2857142857143,중곡4동
1843,7,104900066,5740,0.0,0.0,0.0,0.0,0.0,0.0,402.0,653.4193548387096,818.8387096774193,1506.258064516129,1361.032258064516,1866.8709677419356,2624.551724137931,1962.8275862068965,2132.0,3662.064516129032,4304.516129032258,5507.666666666666,7560.193548387096,6409.935483870967,3474.0322580645166,3571.6129032258063,3699.8387096774195,1509.6774193548388,광장동
1844,7,104900067,5739,32.074074074074076,0.0,0.0,0.0,0.0,0.0,1014.2,14668.888888888889,7080.0,4809.0,3108.0,3266.75,4310.74074074074,4049.5384615384614,3360.185185185185,4893.428571428572,4331.357142857143,5422.25925925926,6214.285714285715,5325.0,3026.0,2181.678571428571,1897.2857142857142,1093.7142857142858,중곡4동
1845,7,104900068,5737,48.111111111111114,0.0,0.0,0.0,0.0,0.0,1069.52,10350.222222222223,6470.333333333334,5250.0,3940.5,3157.25,3318.8888888888887,3008.769230769231,2586.111111111111,3058.392857142857,3803.1428571428573,4283.777777777778,5428.571428571428,5737.5,3655.0,3006.2499999999995,3661.428571428571,2402.857142857143,중곡4동
1846,7,104900070,5735,16.037037037037038,0.0,0.0,0.0,0.0,0.0,1032.64,3261.777777777778,5546.0,6951.0,6512.0,6916.75,6847.592592592592,5582.307692307692,6227.777777777777,8378.142857142857,8187.321428571428,8162.333333333334,8839.285714285714,9206.25,5729.0,4998.964285714285,4260.571428571428,3463.4285714285716,중곡4동
1847,7,104900071,5733,2098.258064516129,0.0,0.0,0.0,0.0,0.0,480.13333333333327,2476.0,13509.483870967742,8426.064516129032,5832.129032258064,5680.933333333333,7078.071428571428,7991.310344827586,6744.466666666667,7550.645161290323,11169.677419354839,13494.0,18017.09677419355,15610.399999999998,9360.107142857143,10063.230769230768,8736.538461538463,9313.612903225807,자양3동
1848,7,104900072,5731,0.0,0.0,0.0,0.0,0.0,0.0,719.1600000000001,2915.5555555555557,5172.333333333334,5439.0,3811.0,5037.0,4348.888888888889,4787.538461538462,4503.7037037037035,6876.75,6990.035714285715,6174.814814814816,6339.285714285715,6450.0,3553.0,2662.678571428571,2196.8571428571427,1773.1428571428573,중곡4동
1849,7,104900073,5728,0.0,0.0,0.0,0.0,0.0,0.0,880.5714285714286,5309.032258064516,6249.032258064516,5048.0,4593.4838709677415,3974.032258064516,4657.655172413793,5444.068965517242,4766.666666666666,6091.354838709677,5829.032258064515,6680.266666666666,8876.645161290322,10167.48387096774,6487.41935483871,5656.774193548387,5449.5161290322585,2472.0967741935483,광장동
1850,7,104900074,5727,0.0,0.0,0.0,0.0,0.0,0.0,590.08,1840.4444444444443,4012.0000000000005,3612.0,3459.5,3175.5,3032.7777777777774,3557.5384615384614,3712.037037037037,5560.714285714285,5546.25,5538.037037037037,5767.857142857143,4781.25,3638.0,3727.7499999999995,2979.0714285714284,1972.0000000000002,중곡4동
1851,7,104900075,5724,0.0,0.0,0.0,0.0,0.0,0.0,97.86206896551724,3425.032258064516,3829.0,2355.5161290322585,2158.032258064516,1560.0,2718.285714285714,2052.4137931034484,2054.0,2558.5806451612907,1967.741935483871,3108.0,3620.41935483871,3180.8064516129034,1729.8000000000002,1444.357142857143,1917.9310344827584,707.0967741935483,구의3동
1852,7,104900076,5723,0.0,0.0,0.0,0.0,0.0,0.0,2102.1600000000003,6432.444444444444,9125.333333333334,5565.0,4569.5,4799.75,5836.666666666666,5733.692307692308,5400.925925925926,9972.214285714284,8944.428571428572,8837.703703703704,10517.857142857143,10743.75,6341.0,6905.785714285714,6740.357142857142,5501.714285714286,중곡4동
1853,7,104900077,5721,0.0,0.0,0.0,0.0,0.0,0.0,1223.2758620689656,9026.387096774193,11875.193548387097,11897.93548387097,11861.064516129032,12012.0,18492.0,14944.137931034484,17427.4,18881.67741935484,19614.451612903227,28963.2,41782.06451612904,35470.29032258065,21966.600000000002,22239.142857142855,19836.379310344826,7725.032258064515,구의3동
